,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,InnerRing,OuterRing,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
0,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,7.565544965250215,1.2498392005716656,11.322778060523136,8.096934757736866,12.280751661082745,4.790376420805394,0.0187898004363551,0.6364252975122322,10.0,1.607352614402771,0.0848409831523895,,18.94547369301084
1,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,7.311095861398025,2.0959172758225217,10.30112735814635,7.66706686178267,13.353189348090796,-20.273220724831138,0.1289262976548533,0.4443546485790371,10.0,1.216932773590088,0.1489487439393997,,8.17014458399999
2,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,6.953949538181928,1.2486463535988632,10.320737481743922,7.769888477480079,12.833007271032876,-16.42273563423882,0.5232480534666997,0.6171885642251413,10.0,1.11268413066864,-0.0,,-inf
3,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.148981612355698,0.8753242179121313,10.915956810035585,7.346051739240332,10.100537730937468,23.02580204521541,0.004695476192547,0.6825120129887772,10.0,1.462008357048035,0.0399228185415267,,36.62087023057471
4,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,7.776125793815517,1.7210331983147116,11.115408163203092,8.81099604606794,12.235626893088137,24.24860707297895,0.6994792753175043,0.996916226172638,10.0,1.7779628038406372,0.3602756857872009,,4.935006368680683
5,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.077594770233297,2.178510296660725,12.50662190963351,8.824334538892895,13.219950996148189,-5.330146600927421,0.6063932141279244,0.6255864124372579,10.0,1.5007741451263428,0.0027924664318561,,537.4367720255017
6,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.802641993774381,1.845758208338029,12.678164015124793,7.359639905418284,13.650610147583848,-13.163850316427869,0.3982210622160919,0.608064811191214,10.0,1.910362958908081,0.0500760823488235,,38.14920954879694
7,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,6.763069445311179,0.1835071893683881,12.172083127790604,6.247183527976411,13.481717444077296,-8.557371249526337,0.1796036775596348,0.204282405950966,10.0,1.386158466339111,-0.0,,-inf
8,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.971016842190114,0.6585219833514371,13.315391015500504,6.053289506948603,10.103254997328644,18.086505768529904,0.3200171508224678,0.7034810449943658,10.0,2.173043727874756,-0.0,,-inf
9,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.394140501737692,0.5650514734747971,14.763958284859722,7.749953105551262,11.077538385567792,31.315941334224703,0.7308558067701578,0.9847974493651837,10.0,2.709474563598633,0.4144929051399231,,6.536841837338513
10,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.695447168569853,0.5356992089725969,14.143270157005606,7.259327470842765,11.567058739222222,31.51028108669988,0.3220894977421551,0.3712438859798189,10.0,1.8593223094940183,1.6181729733943946e-08,,114902568.5179856
11,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,7.865001423084013,0.596728656812543,14.015698631993144,7.6918056372498995,10.67033447761058,30.79778054233384,0.4543063256592833,0.6745606758919992,10.0,2.171769618988037,-0.0,,-inf
12,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.725777553123624,0.2583336296790534,14.8441888188751,8.484180265296754,11.286125302056282,31.07433863010938,0.3420531306707263,0.7823577917064423,10.0,2.7688205242156982,-0.0,,-inf
13,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.403729632468226,0.163389521508192,14.697849257257063,8.46080000370895,11.16448064439666,30.402635442376425,0.0741571001158514,0.2624966969365091,10.0,0.0361861363053321,-0.0,,-inf
14,"[-0.004, 0.004]",-0.003,-0.003,20.0,1.0,8.516294707547829,0.504327717461693,14.875796096561483,8.519364107820262,11.989535193508033,31.29433755412529,0.2320197880127785,0.8049110000760766,10.0,3.013172149658203,0.2315032482147216,,13.015679792377922
